,0,1,2,3
[17 35],-0.382628839161377,-9.930703456325807,-9.840802203125,-0.38487368223339846
[17 36],-9.586056509179688,-8.882785931445312,-0.3874738202263184,-0.35603939622451175
[17 37],-0.3930529167539356,-5.0,-0.37330868612695317,-9.62566068491953
[16 37],-0.38967538902346194,-0.3899378741797852,-9.879939409765626,-10.243922975651124
[15 37],-8.985276801630883,-0.38079939679370123,-5.0,-7.614774078867187
[13 39],-9.93701960562144,-0.3938210006507374,-0.42904499697155773,-5.0
[14 39],-0.40420541113856695,-0.3607680779266602,-7.543875,-8.934283135066998
[15 39],-0.37876855342546634,-0.3592601165263673,-10.07187325390625,-5.0
[16 39],-0.37603973236513677,-0.3813304628005372,-8.78375,-8.907359326181153
[17 39],-0.39295308703417975,-0.382463534765625,-8.84225,-8.863399999999999
[18 39],-0.39973835731655283,-0.36838586726806644,-10.21492308900708,-8.8477371875
[19 39],-0.4128805640819092,-0.40386473739006357,-8.925227786035157,-0.3639775280996094
[20 39],-0.40996260089667974,-0.3578766517578126,-9.962707591246264,-9.90597391015625
[21 39],-0.33877539453125005,-0.3324412575195313,-8.8496890625,-9.841375443359375
[22 39],-0.3406953921875,-0.3304150625000001,-7.5783984375,-9.565836257519532
[23 39],-0.3320944976562501,-0.30646449609375004,-8.80625,-9.522603392578125
[24 39],-0.2998846875,-0.3324669245117188,-9.55760015625,-9.54364453125
[25 39],-0.3368784951171876,-0.38620189743896494,-9.899224384765624,-5.0
[26 39],-0.34823366601562505,-0.3725847722607422,-9.897488472851563,-10.0014328125
[27 39],-0.3791497072998047,-10.151731422456056,-0.36582305843554697,-8.910543057214355
[27 38],-9.922628620087401,-8.800625,-0.42888191388780383,-0.38968369496337896
[27 37],-0.4163326723169528,-9.574268680403321,-9.96849192661461,-0.41355002465167245
[26 37],-0.42722670443521005,-0.42607083338217777,-7.681793284865365,-8.921066771318163
[25 37],-7.610187235546875,-0.4341630623561976,-7.532625,-9.985761333640324
[19 40],-8.8635125,-8.8635125,-0.3769202337229005,-0.3431424409570313
[19 41],-7.543875,-0.3729471498779297,-0.34819696954101564,-9.494929536914062
[20 41],-0.37556819830517585,-0.3594380443554688,-10.021393828125,-9.588809186425781
[21 41],-0.3771054426946777,-0.32243904550781255,-8.905711765039063,-9.91518088493164
[22 41],-0.3249681263671875,-0.30204634775390626,-8.9196021875,-8.9053999765625
[23 41],-0.3081965390625001,-0.31078324453125,-7.5857390625,-9.578777832128907
[24 41],-0.32360300976562506,-0.301163814453125,-7.614059548828125,-8.924095024414063
[25 41],-0.31039014160156253,-0.2808067578125001,-5.0,-8.91549681640625
[26 41],-0.2941928515625,-0.28318965234375004,-7.557375,-8.848803125
[27 41],-0.30225038671875004,-0.2857173125,-9.550202497265625,-9.4795828125
[28 41],-0.29943667695312504,-0.30723888476562505,-7.6149657890625,-7.5795375
[29 41],-0.31269546875,-0.29491361328125004,-10.189376704101562,-0.33230014352539067
[29 42],-5.0,-9.563352357363282,-0.3342374934570313,-0.36136271776611334
[30 41],-0.3123609921875,-0.312985899609375,-7.616949796875,-7.579284375
[31 41],-0.32611305,-0.3276123875996094,-5.0,-8.86348578125
[32 41],-0.31945963847656256,-0.3333381805664063,-9.548357620998047,-9.596055585793946
[33 41],-0.3404754386132813,-10.056843381972655,-7.5,-0.34250395582031257
[29 43],-9.489215625,-9.973265625,-0.35423549992675785,-0.3584565301074219
[29 44],-10.166901640625,-10.170431683144532,-0.36408287945263673,-0.33615975784179686
[29 45],-8.900064927734375,-0.3369434673828125,-0.3444321222558594,-5.0
[30 45],-0.35503880847851566,-0.3447676471582032,-7.593630234375,-9.4408125
[31 45],-0.35795804389833985,-0.37875580437451173,-8.837834375,-8.88495805859375
[32 45],-0.34851139560058597,-0.43170111031772457,-9.481171875000001,-10.196413697040283
[33 45],-0.4002690547749023,-0.40678774828437503,-8.970641411541992,-9.60079218290171
