,state,action_space,reward,Q,action
7672,[41 45],r,-0.1,-0.12000000000000002,2
7673,[41 44],l,-0.1,-0.12125000000000002,3
7674,[41 45],u,-0.1,-0.11000000000000001,0
7675,[40 45],u,-0.1,-0.07500000000000001,0
7676,[39 45],l,-10,-5.0,3
7677,[39 45],d,-0.1,-0.10875000000000001,1
7678,[40 45],u,-0.1,-0.13643750000000002,0
7679,[39 45],d,-0.1,-0.15280625,1
7680,[40 45],d,-0.1,-0.15331250000000002,1
7681,[41 45],u,-0.1,-0.166396875,0
7682,[40 45],d,-0.1,-0.18065625000000002,1
7683,[41 45],l,-10,-9.909,3
7684,[41 45],u,-0.1,-0.1945953125,0
7685,[40 45],u,-0.1,-0.18698156250000003,0
7686,[39 45],d,-0.1,-0.2076984375,1
7687,[40 45],d,-0.1,-0.19432812500000002,1
7688,[41 45],r,-0.1,-0.14375000000000004,2
7689,[41 44],u,-10,-8.795,0
7690,[41 44],r,-0.1,-0.13643750000000002,2
7691,[41 43],l,-0.1,-0.15956250000000002,3
7692,[41 44],l,-0.1,-0.17531250000000004,3
7693,[41 45],r,-0.1,-0.18327187500000003,2
7694,[41 44],r,-0.1,-0.16715625,2
7695,[41 43],r,-10,-8.798937500000001,2
7696,[41 43],u,-0.1,-0.1589375,0
7697,[40 43],d,-0.1,-0.18214687500000004,1
7698,[41 43],u,-0.1,-0.20099062500000003,0
7699,[40 43],l,-10,-9.457771875,3
7700,[40 43],u,-0.1,-0.19443750000000004,0
7701,[39 43],d,-0.1,-0.20415359375000003,1
7702,[40 43],d,-0.1,-0.21287656250000003,1
7703,[41 43],l,-0.1,-0.2050015625,3
7704,[41 44],r,-0.1,-0.22402390625000002,2
7705,[41 43],u,-0.1,-0.23799218750000004,0
7706,[40 43],u,-0.1,-0.22509687500000003,0
7707,[39 43],u,-0.1,-0.19615625,0
7708,[38 43],l,-10,-7.559625,3
7709,[38 43],u,-0.1,-0.18830625,0
7710,[37 43],r,-0.1,-0.20833125000000005,2
7711,[37 42],u,-10,-8.826865625,0
7712,[37 42],l,-0.1,-0.20746250000000005,3
7713,[37 43],u,-10,-8.83330625,0
7714,[37 43],d,-0.1,-0.20580312500000003,1
7715,[38 43],d,-0.1,-0.2224265625,1
7716,[39 43],u,-0.1,-0.23281593750000001,0
7717,[38 43],u,-0.1,-0.22063906250000004,0
7718,[37 43],l,-0.1,-0.2149128125,3
7719,[37 44],r,-0.1,-0.23142078125000004,2
7720,[37 43],l,-0.1,-0.24589125000000003,3
7721,[37 44],l,-0.1,-0.23248125000000003,3
7722,[37 45],l,-0.1,-0.24594750000000004,3
7723,[37 46],u,-10,-8.879116250000001,0
7724,[37 46],r,-0.1,-0.25469718750000003,2
7725,[37 45],r,-0.1,-0.25519872656250003,2
7726,[37 44],r,-0.1,-0.258321796875,2
7727,[37 43],d,-0.1,-0.2521891406250001,1
7728,[38 43],d,-0.1,-0.2530823984375,1
7729,[39 43],d,-0.1,-0.24787125000000002,1
7730,[40 43],d,-0.1,-0.24868898437500003,1
7731,[41 43],l,-0.1,-0.23139140625000004,3
7732,[41 44],u,-10,-9.476390625,0
7733,[41 44],r,-0.1,-0.26613808593750005,2
7734,[41 43],l,-0.1,-0.24458632812500006,3
7735,[41 44],d,-10,-7.578890625,1
7736,[41 44],l,-0.1,-0.22012859375000002,3
7737,[41 45],r,-0.1,-0.24069380468750004,2
7738,[41 44],l,-0.1,-0.24763218750000004,3
7739,[41 45],u,-0.1,-0.23143935937500001,0
7740,[40 45],u,-0.1,-0.23695507812500002,0
7741,[39 45],u,-10,-7.593464296875,0
7742,[39 45],l,-10,-7.593464296875,3
7743,[39 45],r,-10,-7.593464296875,2
7744,[39 45],d,-0.1,-0.241296875,1
7745,[40 45],d,-0.1,-0.25131177421875006,1
7746,[41 45],u,-0.1,-0.27234946484375006,0
7747,[40 45],u,-0.1,-0.2770611328125,0
7748,[39 45],d,-0.1,-0.2837387358984375,1
7749,[40 45],u,-0.1,-0.3162129975605469,0
7750,[39 45],d,-0.1,-0.30495966634765626,1
7751,[40 45],d,-0.1,-0.28396809921875005,1
7752,[41 45],r,-0.1,-0.28178138671875,2
7753,[41 44],d,-10,-8.900879796875,1
7754,[41 44],l,-0.1,-0.2963733529296876,3
7755,[41 45],l,-10,-10.07705725917969,3
7756,[41 45],u,-0.1,-0.31396037707031255,0
7757,[40 45],d,-0.1,-0.3187856736328125,1
7758,[41 45],d,-10,-7.626801624023438,1
7759,[41 45],r,-0.1,-0.31065283203125005,2
7760,[41 44],r,-0.1,-0.29016552734375,2
7761,[41 43],u,-0.1,-0.27028968750000004,0
7762,[40 43],u,-0.1,-0.267315609375,0
7763,[39 43],u,-0.1,-0.2656955468750001,0
7764,[38 43],u,-0.1,-0.25406859375,0
7765,[37 43],r,-0.1,-0.24153593750000008,2
7766,[37 42],r,-0.1,-0.22852531250000002,2
7767,[37 41],l,-0.1,-0.24073312500000005,3
7768,[37 42],l,-0.1,-0.2624224218750001,3
7769,[37 43],u,-10,-9.525344296875,0
7770,[37 43],l,-0.1,-0.2775621875,3
7771,[37 44],l,-0.1,-0.2769170000000001,3
7772,[37 45],l,-0.1,-0.27543685156250003,3
7773,[37 46],l,-0.1,-0.27584785625,3
7774,[37 47],d,-0.1,-0.28985137109375003,1
7775,[38 47],d,-0.1,-0.2901912617187501,1
7776,[39 47],d,-0.1,-0.28440292578125004,1
7777,[40 47],u,-0.1,-0.29999387539062505,0
7778,[39 47],l,-10,-8.903301777734374,3
7779,[39 47],u,-0.1,-0.30510489453125006,0
7780,[38 47],u,-0.1,-0.29810307031250005,0
7781,[37 47],r,-0.1,-0.29126271875000004,2
7782,[37 46],r,-0.1,-0.29218802070312505,2
7783,[37 45],r,-0.1,-0.293844171875,2
7784,[37 44],u,-10,-8.87749480859375,0
7785,[37 44],r,-0.1,-0.28785207031250004,2
7786,[37 43],r,-0.1,-0.27360435937500005,2
7787,[37 42],r,-0.1,-0.24570984375000002,2
7788,[37 41],r,-0.1,-0.22552085937500002,2
7789,[37 40],r,-0.1,-0.23091750000000003,2
7790,[37 39],u,-0.1,-0.230446390625,0
7791,[36 39],u,-0.1,-0.21000359375,0
7792,[35 39],l,-0.1,-0.1943784375,3
7793,[35 40],u,-10,-8.8207878125,0
7794,[35 40],l,-0.1,-0.2075690625,3
7795,[35 41],r,-0.1,-0.21657500000000002,2
7796,[35 40],l,-0.1,-0.24626796875000004,3
7797,[35 41],l,-0.1,-0.22655937500000004,3
7798,[35 42],l,-0.1,-0.19668750000000004,3
7799,[35 43],u,-10,-8.84196875,0
7800,[35 43],d,-10,-7.5646875,1
7801,[35 43],d,-10,-8.84703125,1
7802,[35 43],r,-0.1,-0.22338125000000003,2
7803,[35 42],l,-0.1,-0.21303125000000006,3
7804,[35 43],l,-0.1,-0.18099375000000004,3
7805,[35 44],d,-10,-7.55911875,1
7806,[35 44],l,-0.1,-0.1753125,3
7807,[35 45],u,-0.1,-0.17969718750000002,0
7808,[34 45],u,-0.1,-0.184425,0
